Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
115,Tyler Boyd,30,TEN,WR,16,8,57,39,390,20,201,5.2,189,4.8,7.4,2.0,19.5,3,5.3,65.7,507,11.24
116,Rico Dowdle,26,DAL,RB,16,15,49,39,249,13,-23,-0.6,272,7.0,-0.1,3.0,13.0,2,4.1,108.2,622,7.88
117,Travis Etienne,25,JAX,RB,15,15,52,39,254,13,-42,-1.1,296,7.6,0.2,4.0,9.8,2,3.8,76.9,522,9.96
118,Marvin Mims,22,DEN,WR,17,2,52,39,503,14,26,0.7,477,12.2,7.4,0.0,,3,5.8,127.3,549,9.47
119,Josh Palmer,25,LAC,WR,15,7,65,39,584,28,483,12.4,101,2.6,15.2,0.0,,4,6.2,88.2,491,13.24
120,Darius Slayton,27,NYG,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4.0,9.8,4,5.6,79.1,554,12.82
121,Dontayvion Wicks,23,GNB,WR,17,5,76,39,415,25,276,7.1,139,3.6,10.7,3.0,13.0,9,11.8,78.6,464,16.38
122,Tyrone Tracy Jr.,25,NYG,RB,17,12,53,38,284,13,3,0.1,281,7.4,0.3,6.0,6.3,5,9.4,82.6,554,9.57
123,Jaylen Warren,26,PIT,RB,15,0,47,38,310,16,-5,-0.1,315,8.3,-0.1,5.0,7.6,1,2.1,94.1,460,10.22
124,Greg Dortch,26,ARI,WR,17,4,50,37,342,16,48,1.3,294,7.9,4.1,5.0,7.4,3,6.0,112.2,523,9.56
125,Jerome Ford,25,CLE,RB,14,6,43,37,225,10,-69,-1.9,294,7.9,-0.3,7.0,5.3,1,2.3,88.5,634,6.78
126,Allen Lazard,29,NYJ,WR,12,10,60,37,530,29,375,10.1,155,4.2,11.0,0.0,,6,10.0,109.7,589,10.19
127,Jalen McMillan,23,TAM,WR,13,12,58,37,461,23,328,8.9,133,3.6,12.2,1.0,37.0,4,6.9,88.4,563,10.3
128,Alec Pierce,24,IND,WR,16,13,69,37,824,32,706,19.1,118,3.2,21.5,0.0,,3,4.3,106.2,492,14.02
129,Calvin Austin III,25,PIT,WR,17,8,58,36,548,18,396,11.0,152,4.2,12.4,1.0,36.0,3,5.2,116.2,460,12.61
130,Najee Harris,26,PIT,RB,17,17,48,36,283,13,-46,-1.3,329,9.1,-1.5,7.0,5.1,4,8.3,89.1,460,10.43
131,Andrei Iosivas,25,CIN,WR,17,8,61,36,479,26,412,11.4,67,1.9,11.2,0.0,,5,8.2,109.9,628,9.71
132,Josh Jacobs,26,GNB,RB,17,17,43,36,342,15,-61,-1.7,403,11.2,-1.0,13.0,2.8,0,0.0,97.9,464,9.27
133,Alexander Mattison,26,LVR,RB,14,7,48,36,294,13,-20,-0.6,314,8.7,-0.1,6.0,6.0,2,4.2,79.7,592,8.11
134,Joe Mixon,28,HOU,RB,14,14,52,36,309,12,-51,-1.4,360,10.0,-0.5,6.0,6.0,4,7.7,90.9,547,9.51
135,David Montgomery,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11.0,3.3,0,0.0,104.1,522,7.28
136,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0.0,,4,7.1,86.4,504,11.11
137,Austin Ekeler,29,WAS,RB,12,6,41,35,366,14,-58,-1.7,424,12.1,-1.4,4.0,8.8,2,4.9,103.9,504,8.13
138,Kyren Williams,24,LAR,RB,16,16,40,34,182,6,-13,-0.4,195,5.7,-0.7,2.0,17.0,1,2.5,102.3,541,7.39
139,Saquon Barkley,27,PHI,RB,16,16,43,33,278,12,33,1.0,245,7.4,1.9,6.0,5.5,2,4.7,108.5,418,10.29
140,Tim Patrick,31,DET,WR,16,9,44,33,394,20,253,7.7,141,4.3,10.0,2.0,16.5,1,2.3,105.7,522,8.43
141,JaTavion Sanders,21,CAR,TE,16,8,43,33,342,13,152,4.6,190,5.8,6.2,1.0,33.0,2,4.7,106.9,518,8.3
142,Rhamondre Stevenson,26,NWE,RB,15,14,41,33,168,8,-69,-2.1,237,7.2,-1.0,3.0,11.0,1,2.4,91.9,500,8.2
143,Diontae Johnson,28,3TM,WR,12,8,67,33,375,21,284,8.6,91,2.8,10.9,1.0,33.0,3,4.5,50.3,67,100.0
143,Diontae Johnson,28,CAR,WR,7,7,58,30,357,20,271,9.0,86,2.9,9.8,1.0,30.0,2,3.4,52.2,518,11.2
143,Diontae Johnson,28,BAL,WR,4,1,5,1,6,0,5,5.0,1,1.0,24.2,0.0,,1,20.0,39.6,457,1.09
143,Diontae Johnson,28,HOU,WR,1,0,4,2,12,1,8,4.0,4,2.0,9.5,0.0,,0,0.0,56.2,547,0.73
144,Jalen Coker,23,CAR,WR,11,4,46,32,478,23,307,9.6,171,5.3,11.3,2.0,16.0,0,0.0,108.8,518,8.88
145,James Cook,25,BUF,RB,16,16,38,32,258,14,-2,-0.1,260,8.1,0.9,0.0,,2,5.3,112.5,495,7.68
146,J.K. Dobbins,26,LAC,RB,13,11,38,32,153,6,-51,-1.6,204,6.4,-1.2,1.0,32.0,2,5.3,83.4,491,7.74
147,David Moore,29,CAR,WR,17,5,57,32,351,18,291,9.1,60,1.9,10.8,1.0,32.0,4,7.0,92.1,518,11.0
148,Foster Moreau,27,NOR,TE,17,17,43,32,413,21,255,8.0,158,4.9,9.2,2.0,16.0,0,0.0,133.2,517,8.32
149,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1.0,32.0,2,4.5,89.2,517,8.51
150,Sterling Shepard,31,TAM,WR,14,5,51,32,334,16,235,7.3,99,3.1,9.3,1.0,32.0,4,7.8,88.2,563,9.06
151,Parker Washington,22,JAX,WR,17,7,51,32,390,19,282,8.8,108,3.4,11.2,2.0,16.0,1,2.0,97.7,522,9.77
152,Nick Westbrook-Ikhine,27,TEN,WR,17,9,60,32,497,25,373,11.7,124,3.9,11.5,2.0,16.0,4,6.7,99.8,507,11.83
153,Mack Hollins,31,BUF,WR,17,13,50,31,378,25,288,9.3,90,2.9,11.1,0.0,,3,6.0,118.6,495,10.1
154,Lil'Jordan Humphrey,26,DEN,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3.0,10.3,3,6.7,75.5,549,8.2
155,Ricky Pearsall,24,SFO,WR,11,4,46,31,400,19,286,9.2,114,3.7,11.4,1.0,31.0,0,0.0,89.0,513,8.97
156,Demarcus Robinson,30,LAR,WR,17,17,64,31,505,27,434,14.0,71,2.3,14.2,1.0,31.0,1,1.6,85.7,541,11.83
157,Curtis Samuel,28,BUF,WR,14,2,46,31,253,9,93,3.0,160,5.2,4.6,1.0,31.0,1,2.2,79.3,495,9.29
158,KaVontae Turpin,28,DAL,WR,17,2,52,31,420,18,160,5.2,260,8.4,8.5,2.0,15.5,2,3.8,82.2,622,8.36
159,AJ Barner,22,SEA,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1.0,30.0,3,7.9,117.7,569,6.68
160,Dyami Brown,25,WAS,WR,16,3,40,30,308,13,90,3.0,218,7.3,7.1,4.0,7.5,2,5.0,105.0,504,7.94
161,Colby Parkinson,25,LAR,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1.0,30.0,2,4.1,84.9,541,9.06
162,Tyjae Spears,23,TEN,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4.0,7.5,1,2.9,102.9,507,6.9
163,Keon Coleman,21,BUF,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4.0,7.3,4,7.0,93.9,495,11.52
164,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1.0,29.0,5,11.6,88.4,554,7.76
165,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4.0,7.3,3,6.1,83.6,634,7.73
166,Christian Watson,25,GNB,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0.0,,2,3.8,93.3,464,11.42
167,Kendrick Bourne,29,NWE,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0.0,,4,10.5,105.7,500,7.6
168,Troy Franklin,21,DEN,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1.0,28.0,3,5.7,71.5,549,9.65
169,Jalen Nailor,25,MIN,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0.0,,4,9.5,138.3,517,8.12
170,Samaje Perine,29,KAN,RB,17,0,35,28,322,15,9,0.3,313,11.2,0.3,3.0,9.3,1,2.9,114.5,572,6.12
171,Josh Whyle,25,TEN,TE,17,4,37,28,248,14,105,3.8,143,5.1,5.6,1.0,28.0,1,2.7,102.1,507,7.3
172,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1.0,27.0,1,2.1,72.9,522,9.0
173,Luke Schoonmaker,26,DAL,TE,17,6,36,27,241,11,144,5.3,97,3.6,5.5,0.0,,0,0.0,101.7,622,5.79
174,Brandin Cooks,31,DAL,WR,10,9,54,26,259,19,204,7.8,55,2.1,11.7,0.0,,1,1.9,65.3,622,8.68
175,Tyler Johnson,26,LAR,WR,15,2,41,26,291,10,108,4.2,183,7.0,5.6,0.0,,1,2.4,72.3,541,7.58
176,Malik Washington,23,MIA,WR,14,3,36,26,223,13,100,3.8,123,4.7,5.4,1.0,26.0,2,5.6,88.1,568,6.34
177,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2.0,12.5,4,8.5,61.8,513,9.16
